id,answer,time
1,,46.360013008117676
2,ส่งผลให้อัตราผลตอบแทนจากตราสารหนี้ลดลง,44.1255784034729
3,ข่าวของวันนี้เป็นสิ่งที่น่าสนใจมากโดยเฉพาะอย่างยิ่งเมื่อพูดถึงวิกฤตการณ์ทางทหารในอิรักและสงครามเกี่ยวกับการก่อการร้ายในสหรัฐอาหรับเอมิเรตส์และเป็นที่รู้จักกันในนามสงครามโลกครั้งที่สอง,5.374600410461426
4,ราคาของตราสารหนี้จะมีแนวโน้มเพิ่มขึ้นทุกวันจากผลของดอกเบี้ยค้างรับ,45.387893199920654
5,รายได้ที่เพิ่มขึ้น จากจำนวนและปริมาณการลงทุนของผู้ลงทุนที่เพิ่มขึ้น,44.16002607345581
6,,
7,,
8,,
9,,
10,,
11,,
12,,
